IMDb_Rank,IMDb_Name,IMDb_Release_Date,Director_EN,Actors_EN,IMDb_Rating_IM,IMDb_Votes,IMDb_Intro
166,Finding Nemo,17 July 2003 (Hong Kong),Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Alexander Gould",8.1,"837,189","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
167,Idi i smotri,17 October 1985 (Hungary),Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius",8.2,"40,613","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
168,Sherlock Jr.,11 May 1924 (USA),Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton",8.2,"30,271","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
169,The Big Lebowski,11 June 1998 (Hong Kong),Joel Coen,"Jeff Bridges, John Goodman, Julianne Moore",8.1,"639,069","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
170,Shutter Island,11 March 2010 (Hong Kong),Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo",8.1,"966,164","In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane."
171,Kill Bill: Vol. 1,16 October 2003 (Hong Kong),Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah",8.1,"873,563","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
172,Cool Hand Luke,1 November 1967 (USA),Stuart Rosenberg,"Paul Newman, George Kennedy, Strother Martin",8.1,"143,376","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
173,Rebecca,12 April 1940 (USA),Alfred Hitchcock,"Laurence Olivier, Joan Fontaine, George Sanders",8.1,"107,352",A self-conscious bride is tormented by the memory of her husband's dead first wife.
174,Tôkyô monogatari,3 November 1953 (Japan),Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura",8.2,"41,178",An old couple visit their children and grandchildren in the city; but the children have little time for them.
175,Mary and Max,9 April 2009 (Australia),Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Eric Bana",8.1,"146,430","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
176,Hacksaw Ridge,1 December 2016 (Hong Kong),Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey",8.1,"342,256","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
177,Sunrise: A Song of Two Humans,1 April 1937 (Hong Kong),F.W. Murnau,"George O'Brien, Janet Gaynor, Margaret Livingston",8.2,"41,326",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.
178,Gone Girl,2 October 2014 (Hong Kong),David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris",8.1,"728,996","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
179,How to Train Your Dragon,1 April 2010 (Hong Kong),Dean DeBlois,"Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse",8.1,"585,235","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
180,Relatos salvajes,26 March 2015 (Hong Kong),Damián Szifron,"Darío Grandinetti, María Marull, Mónica Villa",8.1,"142,539",Six short stories that explore the extremities of human behavior involving people in distress.
181,Jurassic Park,29 July 1993 (Hong Kong),Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum",8.1,"754,876","During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok."
182,Into the Wild,19 October 2007 (USA),Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener",8.1,"510,366","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
183,Life of Brian,8 November 1979 (UK),Terry Jones,"Graham Chapman, John Cleese, Michael Palin",8.1,"323,171","Born on the original Christmas in the stable next door to Jesus, Brian of Nazareth spends his life being mistaken for a messiah."
184,Eskiya,29 November 1996 (Turkey),Yavuz Turgul,"Sener Sen, Ugur Yücel, Sermin Hürmeriç",8.3,"52,739","The epic adventures of the legendary Baran the Bandit following his release from prison. After serving 35 years, it is no surprise that the world has changed dramatically. Still, Baran ...                    See full summary»"
185,It Happened One Night,7 September 1939 (Hong Kong),Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly",8.1,"82,000",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
186,In the Name of the Father,27 December 1993 (Ireland),Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie",8.1,"136,767",A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
187,Platoon,9 April 1987 (Hong Kong),Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe",8.1,"342,150",A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
188,The Grand Budapest Hotel,20 March 2014 (Hong Kong),Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric",8.1,"608,941","The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend."
189,Stand by Me,26 November 1986 (USA),Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman",8.1,"324,329","After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy."
190,The Truman Show,5 June 1998 (USA),Peter Weir,"Jim Carrey, Ed Harris, Laura Linney",8.1,"807,249",An insurance salesman/adjuster discovers his entire life is actually a television show.
191,Network,25 August 1977 (Hong Kong),Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch",8.1,"126,881",A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
192,Stalker,17 October 2004 (Hong Kong),Andrei Tarkovsky,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn",8.1,"93,172",A guide leads two men through an area known as the Zone to find a room that grants wishes.
193,Persona,3 April 1969 (Hong Kong),Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margaretha Krook",8.1,"82,881",A nurse is put in charge of a mute actress and finds that their personae are melding together.
194,Hotel Rwanda,4 March 2005 (UK),Terry George,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix",8.1,"306,257",Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.
195,Salinui chueok,4 March 2004 (Hong Kong),Joon-ho Bong,"Kang-ho Song, Sang-kyung Kim, Roe-ha Kim",8.1,"95,094","In a small Korean province in 1986, three detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
196,Ben-Hur,16 November 1961 (Hong Kong),William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd",8.1,"195,624","When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
197,12 Years a Slave,27 February 2014 (Hong Kong),Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender",8.1,"556,233","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
198,Le salaire de la peur,22 April 1953 (France),Henri-Georges Clouzot,"Yves Montand, Charles Vanel, Peter van Eyck",8.1,"46,572","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
199,Million Dollar Baby,10 March 2005 (Hong Kong),Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman",8.1,"570,412",A determined woman works with a hardened boxing trainer to become a professional.
200,La passion de Jeanne d'Arc,25 October 1928 (France),Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley",8.2,"38,723","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
201,Andrei Rublev,16 October 2004 (Hong Kong),Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko",8.2,"36,679","The life, times and afflictions of the fifteenth-century Russian iconographer."
202,Rush,10 October 2013 (Hong Kong),Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde",8.1,"380,876",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
203,Before Sunrise,27 January 1995 (USA),Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert",8.1,"229,529","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
204,Mad Max: Fury Road,14 May 2015 (Hong Kong),George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult",8.1,"746,256","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
205,Rang De Basanti,26 January 2006 (India),Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan, Siddharth",8.2,"96,962","The story of six young Indians who assist an English Woman to film a documentary on the extremist freedom fighters from their past, and the events that lead them to relive the long forgotten saga of freedom."
206,Les quatre cents coups,3 June 1959 (France),François Truffaut,"Jean-Pierre Léaud, Albert Rémy, Claire Maurier",8.1,"88,971","A young boy, left without attention, delves into a life of petty crime."
207,Spotlight,18 February 2016 (Hong Kong),Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams",8.1,"343,621","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
208,Prisoners,31 October 2013 (Hong Kong),Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis",8.1,"504,345","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
209,Hachi: A Dog's Tale,7 January 2010 (Hong Kong),Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa",8.1,"213,549",A college professor's bond with the abandoned dog he takes into his home.
210,Amores perros,16 August 2001 (Hong Kong),Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo",8.1,"202,281","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
211,Logan,2 March 2017 (Hong Kong),James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen",8.1,"521,025","In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces."
212,The Princess Bride,14 January 1989 (Hong Kong),Rob Reiner,"Cary Elwes, Mandy Patinkin, Robin Wright",8.1,"347,105","While home sick in bed, a young boy's grandfather reads him a story called The Princess Bride."
213,Catch Me If You Can,30 January 2003 (Hong Kong),Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken",8.1,"684,702","A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor."
214,Kaze no tani no Naushika,12 February 1988 (Hong Kong),Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda",8.1,"123,301",Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
215,Butch Cassidy and the Sundance Kid,15 January 1970 (Hong Kong),George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross",8.1,"181,883","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heals. Their solution - escape to Bolivia."
216,Harry Potter and the Deathly Hallows: Part 2,14 July 2011 (Hong Kong),David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint",8.1,"666,541","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
217,Rocky,19 May 1977 (Hong Kong),John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young",8.1,"456,044",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.
218,Barry Lyndon,13 August 1976 (Hong Kong),Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee",8.1,"127,381",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
219,"Monsters, Inc.",9 February 2002 (Hong Kong),Pete Docter,"Billy Crystal, John Goodman, Mary Gibbs",8.1,"711,580","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
220,The Grapes of Wrath,23 May 1946 (Hong Kong),John Ford,"Henry Fonda, Jane Darwell, John Carradine",8.1,"78,665","A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression."
221,The Maltese Falcon,13 August 1950 (Hong Kong),John Huston,"Humphrey Bogart, Mary Astor, Gladys George",8.1,"136,714","A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette."
222,Donnie Darko,26 October 2001 (USA),Richard Kelly,"Jake Gyllenhaal, Jena Malone, Mary McDonnell",8.1,"680,541","A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident."
223,Dead Poets Society,9 June 1989 (USA),Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke",8.1,"350,842",English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.
224,Les diaboliques,29 January 1955 (France),Henri-Georges Clouzot,"Simone Signoret, Véra Clouzot, Paul Meurisse",8.1,"54,665",The wife and mistress of a loathed school principal hatch a plan to murder him while having the perfect alibi. They carry out the plan...but then his body disappears.
225,The Terminator,22 March 1985 (Hong Kong),James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",8,"706,230","A seemingly indestructible android is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs."
226,Gandhi,24 March 1983 (Hong Kong),Richard Attenborough,"Ben Kingsley, John Gielgud, Rohini Hattangadi",8.1,"202,417","Gandhi's character is fully explained as a man of nonviolence. Through his patience, he is able to drive the British out of the subcontinent. And the stubborn nature of Jinnah and his commitment towards Pakistan is portrayed."
227,La haine,31 May 1995 (France),Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",8.1,"128,012",24 hours in the lives of three young men in the French suburbs the day after a violent riot.
228,A Star Is Born,17 October 2018 (Hong Kong),Bradley Cooper,"Lady Gaga, Bradley Cooper, Sam Elliott",8.2,"104,407","A musician helps a young singer find fame, even as age and alcoholism send his own career into a downward spiral."
229,Groundhog Day,9 December 1993 (Hong Kong),Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott",8,"524,946",A weatherman finds himself inexplicably living the same day over and over again.
230,Le notti di Cabiria,16 October 1957 (France),Federico Fellini,"Giulietta Masina, François Périer, Franca Marzi",8.1,"37,244",A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
231,Sanjuro,1 January 1962 (Japan),Akira Kurosawa,"Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi",8.1,"25,887","A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent."
232,The Wizard of Oz,6 February 1947 (Hong Kong),Victor Fleming,"Judy Garland, Frank Morgan, Ray Bolger",8,"341,926",Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.
233,Jaws,20 November 1975 (Hong Kong),Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss",8,"494,645","When a killer shark unleashes chaos on a beach resort, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
234,The Help,22 September 2011 (Hong Kong),Tate Taylor,"Emma Stone, Viola Davis, Octavia Spencer",8.1,"380,962","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
235,Blade Runner 2049,5 October 2017 (Hong Kong),Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas",8,"345,536","A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years."
236,Faa yeung nin wa,29 September 2000 (Hong Kong),Kar-Wai Wong,"Tony Chiu-Wai Leung, Maggie Cheung, Ping Lam Siu",8.1,"100,984","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
237,La La Land,26 January 2017 (Hong Kong),Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt",8.1,"404,220","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
238,Paper Moon,9 May 1973 (USA),Peter Bogdanovich,"Ryan O'Neal, Tatum O'Neal, Madeline Kahn",8.1,"36,203","During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
239,Gangs of Wasseypur,2 August 2012 (Singapore),Anurag Kashyap,"Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui",8.2,"65,869","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
240,Mandariinid,17 October 2013 (Georgia),Zaza Urushadze,"Lembit Ulfsak, Elmo Nüganen, Giorgi Nakashidze",8.2,"30,959","War in Georgia, Apkhazeti region in 1990. An Estonian man Ivo has stayed behind to harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo is forced to take him in."
241,Before Sunset,14 October 2004 (Hong Kong),Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff",8.1,"200,594","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
242,Ah-ga-ssi,30 June 2016 (Hong Kong),Chan-wook Park,"Min-hee Kim, Jung-woo Ha, Jin-Woong Cho",8.1,"69,688","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
243,"Paris, Texas",23 August 1984 (UK),Wim Wenders,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell",8.1,"70,608","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
244,The Best Years of Our Lives,18 December 1947 (Hong Kong),William Wyler,"Myrna Loy, Dana Andrews, Fredric March",8.1,"51,696",Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.
245,Guardians of the Galaxy,31 July 2014 (Hong Kong),James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper",8.1,"888,775",A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.
246,Pirates of the Caribbean: The Curse of the Black Pearl,21 August 2003 (Hong Kong),Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom",8,"940,744","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
247,The Bourne Ultimatum,9 August 2007 (Hong Kong),Paul Greengrass,"Matt Damon, Edgar Ramírez, Joan Allen",8,"571,422",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
248,Tenkû no shiro Rapyuta,26 June 1987 (Hong Kong),Hayao Miyazaki,"Anna Paquin, James Van Der Beek, Cloris Leachman",8.1,"122,389",A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
249,Drishyam,31 July 2015 (India),Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu",8.3,"50,602","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
250,"Swades: We, the People",17 December 2004 (India),Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal",8.3,"72,089",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
